speech_list,modality,vocal_channel,emotion,emotion_intensity,statement,repetition,actor
../../dataset/ravdess/Actor_16/03-01-05-01-02-01-16.wav,03,01,05,01,02,01,16
../../dataset/ravdess/Actor_16/03-01-06-01-02-02-16.wav,03,01,06,01,02,02,16
../../dataset/ravdess/Actor_16/03-01-06-02-01-02-16.wav,03,01,06,02,01,02,16
../../dataset/ravdess/Actor_16/03-01-05-02-01-01-16.wav,03,01,05,02,01,01,16
../../dataset/ravdess/Actor_16/03-01-07-01-01-01-16.wav,03,01,07,01,01,01,16
../../dataset/ravdess/Actor_16/03-01-04-01-01-02-16.wav,03,01,04,01,01,02,16
../../dataset/ravdess/Actor_16/03-01-04-02-02-02-16.wav,03,01,04,02,02,02,16
../../dataset/ravdess/Actor_16/03-01-07-02-02-01-16.wav,03,01,07,02,02,01,16
../../dataset/ravdess/Actor_16/03-01-08-02-02-01-16.wav,03,01,08,02,02,01,16
../../dataset/ravdess/Actor_16/03-01-08-01-01-01-16.wav,03,01,08,01,01,01,16
../../dataset/ravdess/Actor_16/03-01-03-02-02-02-16.wav,03,01,03,02,02,02,16
../../dataset/ravdess/Actor_16/03-01-03-01-01-02-16.wav,03,01,03,01,01,02,16
../../dataset/ravdess/Actor_16/03-01-02-02-01-01-16.wav,03,01,02,02,01,01,16
../../dataset/ravdess/Actor_16/03-01-01-01-02-02-16.wav,03,01,01,01,02,02,16
../../dataset/ravdess/Actor_16/03-01-02-01-02-01-16.wav,03,01,02,01,02,01,16
../../dataset/ravdess/Actor_16/03-01-03-02-01-01-16.wav,03,01,03,02,01,01,16
../../dataset/ravdess/Actor_16/03-01-03-01-02-01-16.wav,03,01,03,01,02,01,16
../../dataset/ravdess/Actor_16/03-01-02-02-02-02-16.wav,03,01,02,02,02,02,16
../../dataset/ravdess/Actor_16/03-01-02-01-01-02-16.wav,03,01,02,01,01,02,16
../../dataset/ravdess/Actor_16/03-01-01-01-01-01-16.wav,03,01,01,01,01,01,16
../../dataset/ravdess/Actor_16/03-01-06-01-01-01-16.wav,03,01,06,01,01,01,16
../../dataset/ravdess/Actor_16/03-01-05-01-01-02-16.wav,03,01,05,01,01,02,16
../../dataset/ravdess/Actor_16/03-01-05-02-02-02-16.wav,03,01,05,02,02,02,16
../../dataset/ravdess/Actor_16/03-01-06-02-02-01-16.wav,03,01,06,02,02,01,16
../../dataset/ravdess/Actor_16/03-01-04-01-02-01-16.wav,03,01,04,01,02,01,16
../../dataset/ravdess/Actor_16/03-01-07-01-02-02-16.wav,03,01,07,01,02,02,16
../../dataset/ravdess/Actor_16/03-01-07-02-01-02-16.wav,03,01,07,02,01,02,16
../../dataset/ravdess/Actor_16/03-01-04-02-01-01-16.wav,03,01,04,02,01,01,16
../../dataset/ravdess/Actor_16/03-01-08-02-01-02-16.wav,03,01,08,02,01,02,16
../../dataset/ravdess/Actor_16/03-01-08-01-02-02-16.wav,03,01,08,01,02,02,16
../../dataset/ravdess/Actor_16/03-01-02-01-02-02-16.wav,03,01,02,01,02,02,16
../../dataset/ravdess/Actor_16/03-01-01-01-02-01-16.wav,03,01,01,01,02,01,16
../../dataset/ravdess/Actor_16/03-01-02-02-01-02-16.wav,03,01,02,02,01,02,16
../../dataset/ravdess/Actor_16/03-01-03-01-01-01-16.wav,03,01,03,01,01,01,16
../../dataset/ravdess/Actor_16/03-01-03-02-02-01-16.wav,03,01,03,02,02,01,16
../../dataset/ravdess/Actor_16/03-01-07-02-02-02-16.wav,03,01,07,02,02,02,16
../../dataset/ravdess/Actor_16/03-01-04-02-02-01-16.wav,03,01,04,02,02,01,16
../../dataset/ravdess/Actor_16/03-01-04-01-01-01-16.wav,03,01,04,01,01,01,16
../../dataset/ravdess/Actor_16/03-01-07-01-01-02-16.wav,03,01,07,01,01,02,16
../../dataset/ravdess/Actor_16/03-01-05-02-01-02-16.wav,03,01,05,02,01,02,16
../../dataset/ravdess/Actor_16/03-01-06-02-01-01-16.wav,03,01,06,02,01,01,16
../../dataset/ravdess/Actor_16/03-01-06-01-02-01-16.wav,03,01,06,01,02,01,16
../../dataset/ravdess/Actor_16/03-01-05-01-02-02-16.wav,03,01,05,01,02,02,16
../../dataset/ravdess/Actor_16/03-01-08-01-01-02-16.wav,03,01,08,01,01,02,16
../../dataset/ravdess/Actor_16/03-01-08-02-02-02-16.wav,03,01,08,02,02,02,16
../../dataset/ravdess/Actor_16/03-01-04-02-01-02-16.wav,03,01,04,02,01,02,16
../../dataset/ravdess/Actor_16/03-01-07-02-01-01-16.wav,03,01,07,02,01,01,16
../../dataset/ravdess/Actor_16/03-01-07-01-02-01-16.wav,03,01,07,01,02,01,16
